Emozioni	PleasureMean	PleasureSd	ArousalMean	ArousalSd
Bold	0.44	0.32	0.61	0.64
Mighty	0.48	0.37	0.51	0.28
Kind	0.73	0.22	0.19	0.32
Self-Satisfied	0.86	0.10	0.20	0.40
Proud	0.77	0.21	0.38	0.34
Capable	0.70	0.24	0.28	0.27
Responsible	0.35	0.29	0.38	0.26
Aroused	0.24	0.28	0.57	0.26
Happy	0.81	0.21	0.51	0.26
Egotistical	0.24	0.34	0.32	0.25
Surprised	0.40	0.30	0.67	0.27
SexuallyExcited	0.58	0.26	0.62	0.20
Wonder	0.27	0.37	0.24	0.35
Awed	0.18	0.34	0.40	0.30
Overwhelmed	0.14	0.39	0.45	0.34
Curious	0.22	0.30	0.62	0.20
Relaxed	0.68	0.30	-0.46	0.38
Untroubled	0.79	0.25	-0.01	0.46
Secure	0.74	0.22	-0.13	0.32
Quiet	0.19	0.57	-0.40	0.21
Astonished	0.16	0.26	0.88	0.19
Defiant	-0.16	0.30	0.54	0.37
Hate	-0.56	0.16	0.59	0.29
Embattled	-0.37	0.24	0.40	0.42
Helpless	-0.71	0.18	0.42	0.45
Troubled	-0.63	0.16	0.16	0.40
Strartled	-0.09	0.34	0.65	0.29
Anguished	-0.50	0.30	0.08	0.46
Embarassed	-0.46	0.30	0.54	0.26
Upset	-0.63	0.20	0.30	0.39
Repentant	-0.06	0.55	0.06	0.32
Disdainful	-0.32	0.32	-0.11	0.27
Lonely	-0.66	0.35	-0.43	0.36
Meek	-0.19	0.58	-0.25	0.32
Fatigued	-0.18	0.48	-0.57	0.29
Blase	-0.29	0.33	-0.51	0.25
Discouraged	-0.61	0.25	-0.15	0.32
Sad	-0.63	0.23	-0.27	0.34
