Numero,Emozioni,PleasureMean,Pleasuresd,ArousalMean,Arousalsd,Color,Alpha,Primaria
1,joy,0.78,0.24,0.50,0.28,orange,1,1
2,surprise,0.40,0.30,0.67,0.27,green,1,3
3,fear,-0.63,0.21,0.70,0.42,yellow,1,4
4,Neutral,0.00,0.44,0.00,0.32,grey,1,0
5,Anger,-0.50,0.26,0.65,0.35,red,1,6
6,sad,-0.63,0.23,-0.27,0.34,blue,1,2
7,disgust,-0.60,0.20,0.35,0.41,violet,1,5
8,nervousness-anxious,0.01,0.45,0.59,0.31,yellow,0.5,4
9,laugther-excited,0.62,0.25,0.75,0.20,orange,0.5,1
10,shy,-0.15,0.33,0.06,0.30,blue,0.5,2
11,relief,0.68,0.30,-0.46,0.38,orange,0.8,1
12,irritated,-0.58,0.16,0.40,0.37,red,0.5,6
13,contempt,-0.23,0.39,0.31,0.330.5,red,0.3,7
